0,0.59
1,0.48
2,0.44
3,0.41
4,0.55
5,0.85
6,1.01
7,0.80
8,0.89
9,0.91
10,1.07
11,1.12
12,1.18
13,1.05
14,0.93
15,0.92
16,1.02
17,1.16
18,1.31
19,1.39
20,1.55
21,1.30
22,1.09
23,0.69
